Name,city_ibge_code,estimated_population_2019
Alagoa Grande-PB,2500304.0,28496.0
Alagoa Nova-PB,2500403.0,20849.0
Boa Ventura-PB,2502102.0,5366.0
Bernardino Batista-PB,2502052.0,3501.0
Boa Vista-PB,2502151.0,7051.0
Bayeux-PB,2501807.0,96880.0
Belém do Brejo do Cruz-PB,2502003.0,7342.0
Baía da Traição-PB,2501401.0,8993.0
Belém-PB,2501906.0,17676.0
Conde-PB,2504603.0,24670.0
Conceição-PB,2504405.0,18982.0
Condado-PB,2504504.0,6654.0
Congo-PB,2504702.0,4786.0
Catingueira-PB,2504207.0,4932.0
Caturité-PB,2504355.0,4852.0
Catolé do Rocha-PB,2504306.0,30546.0
Cuitegi-PB,2505204.0,6803.0
Cubati-PB,2505006.0,7797.0
Cuité-PB,2505105.0,20338.0
Cuité de Mamanguape-PB,2505238.0,6353.0
Coxixola-PB,2504850.0,1921.0
Coremas-PB,2504801.0,15445.0
Cruz do Espírito Santo-PB,2504900.0,17319.0
Caraúbas-PB,2504074.0,4162.0
Camalaú-PB,2503902.0,6013.0
Caldas Brandão-PB,2503803.0,6014.0
Capim-PB,2504033.0,6523.0
Campina Grande-PB,2504009.0,409731.0
Casserengue-PB,2504157.0,7468.0
Carrapateira-PB,2504108.0,2659.0
Cajazeirinhas-PB,2503753.0,3193.0
Mimoso do Sul-ES,3203403.0,26153.0
Montanha-ES,3203502.0,18833.0
Marataízes-ES,3203320.0,38499.0
Marechal Floriano-ES,3203346.0,16694.0
Marilândia-ES,3203353.0,12833.0
Mucurici-ES,3203601.0,5524.0
Muniz Freire-ES,3203700.0,17465.0
Muqui-ES,3203809.0,15449.0
Jerônimo Monteiro-ES,3203106.0,12192.0
Jaguaré-ES,3203056.0,30477.0
Iúna-ES,3203007.0,29161.0
Linhares-ES,3203205.0,173555.0
Mantenópolis-ES,3203304.0,15350.0
João Neiva-ES,3203130.0,16668.0
Laranja da Terra-ES,3203163.0,10947.0
Nova Venécia-ES,3203908.0,50110.0
Santa Maria de Jetibá-ES,3204559.0,40431.0
Santa Teresa-ES,3204609.0,23590.0
São Domingos do Norte-ES,3204658.0,8638.0
São Gabriel da Palha-ES,3204708.0,37947.0
Serra-ES,3205002.0,517510.0
Sooretama-ES,3205010.0,30070.0
Pinheiros-ES,3204104.0,27047.0
Piúma-ES,3204203.0,21711.0
Ponto Belo-ES,3204252.0,7863.0
Pancas-ES,3204005.0,23184.0
Pedro Canário-ES,3204054.0,26184.0
Rio Novo do Sul-ES,3204401.0,11622.0
Santa Leopoldina-ES,3204500.0,12224.0
Presidente Kennedy-ES,3204302.0,11574.0
Rio Bananal-ES,3204351.0,19141.0
Brejetuba-ES,3201159.0,12404.0
Cachoeiro de Itapemirim-ES,3201209.0,208972.0
Boa Esperança-ES,3201001.0,15037.0
Bom Jesus do Norte-ES,3201100.0,9936.0
Colatina-ES,3201506.0,122499.0
Conceição da Barra-ES,3201605.0,31063.0
Conceição do Castelo-ES,3201704.0,12723.0
Divino de São Lourenço-ES,3201803.0,4304.0
Cariacica-ES,3201308.0,381285.0
Castelo-ES,3201407.0,37534.0
Alto Rio Novo-ES,3200359.0,7836.0
Anchieta-ES,3200409.0,29263.0
Alegre-ES,3200201.0,30084.0
Alfredo Chaves-ES,3200300.0,14601.0
Afonso Cláudio-ES,3200102.0,30586.0
Atilio Vivacqua-ES,3200706.0,11936.0
Baixo Guandu-ES,3200805.0,30998.0
Barra de São Francisco-ES,3200904.0,44650.0
Apiacá-ES,3200508.0,7567.0
Aracruz-ES,3200607.0,101220.0
Iconha-ES,3202603.0,13860.0
Irupi-ES,3202652.0,13377.0
Ibiraçu-ES,3202504.0,12479.0
Ibitirama-ES,3202553.0,8889.0
Itarana-ES,3202900.0,10555.0
Itaguaçu-ES,3202702.0,14066.0
Itapemirim-ES,3202801.0,34348.0
Fundão-ES,3202207.0,21509.0
Domingos Martins-ES,3201902.0,33850.0
Dores do Rio Preto-ES,3202009.0,6749.0
Ecoporanga-ES,3202108.0,22923.0
Ibatiba-ES,3202454.0,26082.0
Governador Lindenberg-ES,3202256.0,12709.0
Guarapari-ES,3202405.0,124859.0
Guaçuí-ES,3202306.0,30867.0
Venda Nova do Imigrante-ES,3205069.0,25277.0
Vila Velha-ES,3205200.0,493838.0
Vargem Alta-ES,3205036.0,21402.0
Vitória-ES,3205309.0,362097.0
Vila Valério-ES,3205176.0,14080.0
Viana-ES,3205101.0,78239.0
Vila Pavão-ES,3205150.0,9208.0
São Roque do Canaã-ES,3204955.0,12415.0
Águia Branca-ES,3200136.0,9642.0
São José do Calçado-ES,3204807.0,10556.0
São Mateus-ES,3204906.0,130611.0
Água Doce do Norte-ES,3200169.0,11019.0
Montanhas-RN,2407708.0,11251.0
Messias Targino-RN,2407609.0,4601.0
Maxaranguape-RN,2407500.0,12371.0
Martins-RN,2407401.0,8725.0
Marcelino Vieira-RN,2407302.0,8347.0
Major Sales-RN,2407252.0,4020.0
Macaíba-RN,2407104.0,80792.0
Macau-RN,2407203.0,31814.0
Luís Gomes-RN,2407005.0,10116.0
Monte Alegre-RN,2407807.0,22451.0
Paraná-RN,2408607.0,4254.0
Ouro Branco-RN,2408508.0,4812.0
Olho-d'Água do Borges-RN,2408409.0,4258.0
Nísia Floresta-RN,2408201.0,27602.0
Nova Cruz-RN,2408300.0,37343.0
Natal-RN,2408102.0,884122.0
Mossoró-RN,2408003.0,297378.0
Monte das Gameleiras-RN,2407906.0,2105.0
Lucrécia-RN,2406908.0,3996.0
Lajes Pintadas-RN,2406809.0,4759.0
João Câmara-RN,2405801.0,34955.0
José da Penha-RN,2406007.0,5951.0
Jaçanã-RN,2405009.0,9133.0
Jardim do Seridó-RN,2405702.0,12396.0
João Dias-RN,2405900.0,2654.0
Jardim de Piranhas-RN,2405603.0,14837.0
Japi-RN,2405405.0,5055.0
Januário Cicco-RN,2405306.0,10181.0
Janduís-RN,2405207.0,5268.0
Jandaíra-RN,2405108.0,6878.0
Jardim de Angicos-RN,2405504.0,2612.0
Jucurutu-RN,2406106.0,18295.0
Lajes-RN,2406700.0,11277.0
Lagoa de Velhos-RN,2406403.0,2732.0
Lagoa de Pedras-RN,2406304.0,7544.0
Lagoa d'Anta-RN,2406205.0,6769.0
Lagoa Salgada-RN,2406601.0,8245.0
Lagoa Nova-RN,2406502.0,15614.0
Jundiá-RN,2406155.0,3898.0
Parazinho-RN,2408805.0,5237.0
Santana do Matos-RN,2411403.0,12791.0
Santa Maria-RN,2409332.0,5551.0
Santa Cruz-RN,2411205.0,39674.0
Ruy Barbosa-RN,2411106.0,3600.0
Rodolfo Fernandes-RN,2411007.0,4467.0
Rio do Fogo-RN,2408953.0,10848.0
Riachuelo-RN,2410900.0,8128.0
Riacho de Santana-RN,2410801.0,4204.0
Santana do Seridó-RN,2411429.0,2680.0
Serrinha dos Pintos-RN,2413557.0,4800.0
Serrinha-RN,2413508.0,6229.0
Serra do Mel-RN,2413359.0,11938.0
Serra de São Bento-RN,2413300.0,5762.0
Serra Negra do Norte-RN,2413409.0,8078.0
Serra Caiada-RN,2410306.0,10395.0
Senador Georgino Avelino-RN,2413201.0,4440.0
Senador Elói de Souza-RN,2413102.0,6086.0
Santo Antônio-RN,2411502.0,24136.0
Pau dos Ferros-RN,2409407.0,30394.0
Patu-RN,2409308.0,12755.0
Pedra Grande-RN,2409506.0,3237.0
Passagem-RN,2409209.0,3089.0
Passa e Fica-RN,2409100.0,13277.0
Parnamirim-RN,2403251.0,261469.0
Parelhas-RN,2408904.0,21477.0
Paraú-RN,2408706.0,3768.0
Pedra Preta-RN,2409605.0,2458.0
Pedro Avelino-RN,2409704.0,6716.0
Riacho da Cruz-RN,2410702.0,3579.0
Rafael Godeiro-RN,2410603.0,3201.0
Rafael Fernandes-RN,2410504.0,5098.0
Pureza-RN,2410405.0,9621.0
Poço Branco-RN,2410108.0,15413.0
Porto do Mangue-RN,2410256.0,6437.0
Portalegre-RN,2410207.0,7867.0
Pilões-RN,2410009.0,3838.0
Pendências-RN,2409902.0,15129.0
Pedro Velho-RN,2409803.0,14806.0
Fernando Pedroza-RN,2403756.0,3054.0
Felipe Guerra-RN,2403707.0,5985.0
Extremoz-RN,2403608.0,28583.0
Espírito Santo-RN,2403509.0,10505.0
Equador-RN,2403400.0,6045.0
Encanto-RN,2403301.0,5638.0
Florânia-RN,2403806.0,9116.0
Doutor Severiano-RN,2403202.0,7076.0
Cruzeta-RN,2403004.0,7998.0
Coronel João Pessoa-RN,2402907.0,4912.0
Coronel Ezequiel-RN,2402808.0,5506.0
Cerro Corá-RN,2402709.0,11179.0
Ceará-Mirim-RN,2402600.0,73497.0
Carnaúba dos Dantas-RN,2402402.0,8180.0
Currais Novos-RN,2403103.0,44786.0
Francisco Dantas-RN,2403905.0,2824.0
Frutuoso Gomes-RN,2404002.0,4068.0
Galinhos-RN,2404101.0,2786.0
Itaú-RN,2404903.0,5878.0
Itajá-RN,2404853.0,7548.0
Ipueira-RN,2404804.0,2241.0
Ipanguaçu-RN,2404705.0,15491.0
Ielmo Marinho-RN,2404606.0,13766.0
Guamaré-RN,2404507.0,15659.0
Grossos-RN,2404408.0,10383.0
Governador Dix-Sept Rosado-RN,2404309.0,13037.0
Goianinha-RN,2404200.0,26328.0
Carnaubais-RN,2402501.0,10759.0
Caraúbas-RN,2402303.0,20493.0
Campo Redondo-RN,2402105.0,11217.0
Alexandria-RN,2400505.0,13577.0
Afonso Bezerra-RN,2400307.0,11035.0
Acari-RN,2400109.0,11136.0
Almino Afonso-RN,2400604.0,4735.0
Alto do Rodrigues-RN,2400703.0,14529.0
Angicos-RN,2400802.0,11714.0
Antônio Martins-RN,2400901.0,7145.0
Caiçara do Rio do Vento-RN,2401909.0,3684.0
Caiçara do Norte-RN,2401859.0,6549.0
Caicó-RN,2402006.0,67952.0
Brejinho-RN,2401800.0,12699.0
Bom Jesus-RN,2401701.0,10210.0
Bodó-RN,2401651.0,2223.0
Bento Fernandes-RN,2401602.0,5497.0
Baía Formosa-RN,2401404.0,9271.0
Barcelona-RN,2401503.0,3998.0
Baraúna-RN,2401453.0,28374.0
Açu-RN,2400208.0,58017.0
Arês-RN,2401206.0,14306.0
Areia Branca-RN,2401107.0,27774.0
Apodi-RN,2401008.0,35845.0
Canguaretama-RN,2402204.0,34276.0
Severiano Melo-RN,2413607.0,2440.0
São Bento do Norte-RN,2411601.0,2747.0
Taipu-RN,2413904.0,12279.0
Sítio Novo-RN,2413706.0,5522.0
São Vicente-RN,2413003.0,6424.0
Taboleiro Grande-RN,2413805.0,2566.0
Tangará-RN,2414001.0,15727.0
Tenente Ananias-RN,2414100.0,10786.0
São Pedro-RN,2412708.0,5971.0
São Paulo do Potengi-RN,2412609.0,17579.0
São Miguel do Gostoso-RN,2412559.0,10282.0
São Tomé-RN,2412906.0,11055.0
São Rafael-RN,2412807.0,8202.0
Venha-Ver-RN,2414753.0,4177.0
Upanema-RN,2414605.0,14659.0
Água Nova-RN,2400406.0,3252.0
Viçosa-RN,2414902.0,1718.0
Vila Flor-RN,2415008.0,3170.0
Vera Cruz-RN,2414803.0,12481.0
Tenente Laurentino Cruz-RN,2414159.0,5952.0
Tibau-RN,2411056.0,4106.0
Tibau do Sul-RN,2414209.0,14180.0
Timbaúba dos Batistas-RN,2414308.0,2414.0
Umarizal-RN,2414506.0,10555.0
